Province,Gender,Occupation,Employment
Yukon,Total,"1 Business, finance and administration occupations",4535
Yukon,Male,"1 Business, finance and administration occupations",1065
Yukon,Female,"1 Business, finance and administration occupations",3470
Northwest Territories,Total,"1 Business, finance and administration occupations",4350
Northwest Territories,Male,"1 Business, finance and administration occupations",1105
Northwest Territories,Female,"1 Business, finance and administration occupations",3240
Nunavut,Total,"1 Business, finance and administration occupations",2605
Nunavut,Male,"1 Business, finance and administration occupations",680
Nunavut,Female,"1 Business, finance and administration occupations",1935
Canada,Total,2 Natural and applied sciences and related occupations,1666685
Canada,Male,2 Natural and applied sciences and related occupations,1257790
Canada,Female,2 Natural and applied sciences and related occupations,408895
Newfoundland and Labrador,Total,2 Natural and applied sciences and related occupations,16165
Newfoundland and Labrador,Male,2 Natural and applied sciences and related occupations,12580
Newfoundland and Labrador,Female,2 Natural and applied sciences and related occupations,3585
Prince Edward Island,Total,2 Natural and applied sciences and related occupations,5255
Prince Edward Island,Male,2 Natural and applied sciences and related occupations,3855
Prince Edward Island,Female,2 Natural and applied sciences and related occupations,1405
Nova Scotia,Total,2 Natural and applied sciences and related occupations,34275
Nova Scotia,Male,2 Natural and applied sciences and related occupations,26140
Nova Scotia,Female,2 Natural and applied sciences and related occupations,8130
New Brunswick,Total,2 Natural and applied sciences and related occupations,25575
New Brunswick,Male,2 Natural and applied sciences and related occupations,19945
New Brunswick,Female,2 Natural and applied sciences and related occupations,5635
Quebec,Total,2 Natural and applied sciences and related occupations,376995
Quebec,Male,2 Natural and applied sciences and related occupations,284830
Quebec,Female,2 Natural and applied sciences and related occupations,92160
Ontario,Total,2 Natural and applied sciences and related occupations,718405
Ontario,Male,2 Natural and applied sciences and related occupations,537175
Ontario,Female,2 Natural and applied sciences and related occupations,181235
Manitoba,Total,2 Natural and applied sciences and related occupations,41015
Manitoba,Male,2 Natural and applied sciences and related occupations,31450
Manitoba,Female,2 Natural and applied sciences and related occupations,9565
Saskatchewan,Total,2 Natural and applied sciences and related occupations,32115
Saskatchewan,Male,2 Natural and applied sciences and related occupations,24340
Saskatchewan,Female,2 Natural and applied sciences and related occupations,7775
Alberta,Total,2 Natural and applied sciences and related occupations,192305
Alberta,Male,2 Natural and applied sciences and related occupations,147700
Alberta,Female,2 Natural and applied sciences and related occupations,44610
British Columbia,Total,2 Natural and applied sciences and related occupations,220820
British Columbia,Male,2 Natural and applied sciences and related occupations,167105
British Columbia,Female,2 Natural and applied sciences and related occupations,53710
Yukon,Total,2 Natural and applied sciences and related occupations,1725
Yukon,Male,2 Natural and applied sciences and related occupations,1200
Yukon,Female,2 Natural and applied sciences and related occupations,525
Northwest Territories,Total,2 Natural and applied sciences and related occupations,1545
Northwest Territories,Male,2 Natural and applied sciences and related occupations,1100
Northwest Territories,Female,2 Natural and applied sciences and related occupations,445
Nunavut,Total,2 Natural and applied sciences and related occupations,490
Nunavut,Male,2 Natural and applied sciences and related occupations,375
Nunavut,Female,2 Natural and applied sciences and related occupations,115
Canada,Total,3 Health occupations,1601710
Canada,Male,3 Health occupations,315180
Canada,Female,3 Health occupations,1286535
Newfoundland and Labrador,Total,3 Health occupations,23320
Newfoundland and Labrador,Male,3 Health occupations,4080
Newfoundland and Labrador,Female,3 Health occupations,19235
Prince Edward Island,Total,3 Health occupations,7265
Prince Edward Island,Male,3 Health occupations,1080
Prince Edward Island,Female,3 Health occupations,6185
Nova Scotia,Total,3 Health occupations,48825
Nova Scotia,Male,3 Health occupations,8345
Nova Scotia,Female,3 Health occupations,40480
New Brunswick,Total,3 Health occupations,37225
New Brunswick,Male,3 Health occupations,5955
New Brunswick,Female,3 Health occupations,31265
Quebec,Total,3 Health occupations,382265
Quebec,Male,3 Health occupations,74415
Quebec,Female,3 Health occupations,307850
Ontario,Total,3 Health occupations,578200
Ontario,Male,3 Health occupations,115790
Ontario,Female,3 Health occupations,462405
Manitoba,Total,3 Health occupations,61660
Manitoba,Male,3 Health occupations,13445
Manitoba,Female,3 Health occupations,48215
Saskatchewan,Total,3 Health occupations,53175
Saskatchewan,Male,3 Health occupations,8960
Saskatchewan,Female,3 Health occupations,44215
Alberta,Total,3 Health occupations,193895
Alberta,Male,3 Health occupations,36120
Alberta,Female,3 Health occupations,157780
British Columbia,Total,3 Health occupations,212305
British Columbia,Male,3 Health occupations,46305
British Columbia,Female,3 Health occupations,166000
Yukon,Total,3 Health occupations,1605
Yukon,Male,3 Health occupations,295
Yukon,Female,3 Health occupations,1310
Northwest Territories,Total,3 Health occupations,1390
Northwest Territories,Male,3 Health occupations,290
Northwest Territories,Female,3 Health occupations,1100
Nunavut,Total,3 Health occupations,585
Nunavut,Male,3 Health occupations,90
Nunavut,Female,3 Health occupations,495
Canada,Total,"4 Occupations in education, law and social, community and government services",2532170
Canada,Male,"4 Occupations in education, law and social, community and government services",816725
Canada,Female,"4 Occupations in education, law and social, community and government services",1715450
Newfoundland and Labrador,Total,"4 Occupations in education, law and social, community and government services",37370
Newfoundland and Labrador,Male,"4 Occupations in education, law and social, community and government services",10460
Newfoundland and Labrador,Female,"4 Occupations in education, law and social, community and government services",26910
Prince Edward Island,Total,"4 Occupations in education, law and social, community and government services",10970
Prince Edward Island,Male,"4 Occupations in education, law and social, community and government services",3245
Prince Edward Island,Female,"4 Occupations in education, law and social, community and government services",7725
Nova Scotia,Total,"4 Occupations in education, law and social, community and government services",73205
Nova Scotia,Male,"4 Occupations in education, law and social, community and government services",26255
Nova Scotia,Female,"4 Occupations in education, law and social, community and government services",46955
New Brunswick,Total,"4 Occupations in education, law and social, community and government services",55630
New Brunswick,Male,"4 Occupations in education, law and social, community and government services",19220
New Brunswick,Female,"4 Occupations in education, law and social, community and government services",36410
Quebec,Total,"4 Occupations in education, law and social, community and government services",601675
Quebec,Male,"4 Occupations in education, law and social, community and government services",179715
Quebec,Female,"4 Occupations in education, law and social, community and government services",421960
Ontario,Total,"4 Occupations in education, law and social, community and government services",957480
Ontario,Male,"4 Occupations in education, law and social, community and government services",316155
Ontario,Female,"4 Occupations in education, law and social, community and government services",641320
Manitoba,Total,"4 Occupations in education, law and social, community and government services",100315
Manitoba,Male,"4 Occupations in education, law and social, community and government services",33095
Manitoba,Female,"4 Occupations in education, law and social, community and government services",67220
Saskatchewan,Total,"4 Occupations in education, law and social, community and government services",77825
Saskatchewan,Male,"4 Occupations in education, law and social, community and government services",24395
Saskatchewan,Female,"4 Occupations in education, law and social, community and government services",53430
Alberta,Total,"4 Occupations in education, law and social, community and government services",267785
Alberta,Male,"4 Occupations in education, law and social, community and government services",88015
Alberta,Female,"4 Occupations in education, law and social, community and government services",179770
British Columbia,Total,"4 Occupations in education, law and social, community and government services",336840
British Columbia,Male,"4 Occupations in education, law and social, community and government services",111625
British Columbia,Female,"4 Occupations in education, law and social, community and government services",225210
Yukon,Total,"4 Occupations in education, law and social, community and government services",4810
Yukon,Male,"4 Occupations in education, law and social, community and government services",1585
Yukon,Female,"4 Occupations in education, law and social, community and government services",3225
Northwest Territories,Total,"4 Occupations in education, law and social, community and government services",5040
Northwest Territories,Male,"4 Occupations in education, law and social, community and government services",1925
Northwest Territories,Female,"4 Occupations in education, law and social, community and government services",3115
Nunavut,Total,"4 Occupations in education, law and social, community and government services",3240
Nunavut,Male,"4 Occupations in education, law and social, community and government services",1040
Nunavut,Female,"4 Occupations in education, law and social, community and government services",2205
Canada,Total,"5 Occupations in art, culture, recreation and sport",697260
Canada,Male,"5 Occupations in art, culture, recreation and sport",319920
Canada,Female,"5 Occupations in art, culture, recreation and sport",377340
Newfoundland and Labrador,Total,"5 Occupations in art, culture, recreation and sport",5945
Newfoundland and Labrador,Male,"5 Occupations in art, culture, recreation and sport",2620
Newfoundland and Labrador,Female,"5 Occupations in art, culture, recreation and sport",3320
Prince Edward Island,Total,"5 Occupations in art, culture, recreation and sport",2270
Prince Edward Island,Male,"5 Occupations in art, culture, recreation and sport",1040
Prince Edward Island,Female,"5 Occupations in art, culture, recreation and sport",1225
Nova Scotia,Total,"5 Occupations in art, culture, recreation and sport",15920
Nova Scotia,Male,"5 Occupations in art, culture, recreation and sport",6985
Nova Scotia,Female,"5 Occupations in art, culture, recreation and sport",8935
New Brunswick,Total,"5 Occupations in art, culture, recreation and sport",9150
New Brunswick,Male,"5 Occupations in art, culture, recreation and sport",4145
New Brunswick,Female,"5 Occupations in art, culture, recreation and sport",5010
Quebec,Total,"5 Occupations in art, culture, recreation and sport",173015
Quebec,Male,"5 Occupations in art, culture, recreation and sport",85080
Quebec,Female,"5 Occupations in art, culture, recreation and sport",87935
Ontario,Total,"5 Occupations in art, culture, recreation and sport",272540
Ontario,Male,"5 Occupations in art, culture, recreation and sport",123405
Ontario,Female,"5 Occupations in art, culture, recreation and sport",149130
Manitoba,Total,"5 Occupations in art, culture, recreation and sport",17845
